model,seed,fold,epoch,optimization_loss,train_loss,train_accuracy,validation_loss,validation_accuracy
feature_linear,42,1,1,0.7954642942973545,0.7132388523646763,0.5515873015873016,0.7356334626674652,0.53125
feature_linear,42,1,2,0.7241241392635164,0.6816686448596773,0.5634920634920635,0.7275701463222504,0.53125
feature_linear,42,1,3,0.6979270974795023,0.6662887164524623,0.6031746031746031,0.7219696640968323,0.515625
feature_linear,42,1,4,0.6763362288475037,0.6543542922489227,0.626984126984127,0.7163309752941132,0.515625
feature_linear,42,1,5,0.6907786017372495,0.6443423619346013,0.6150793650793651,0.7137144505977631,0.53125
feature_linear,42,1,6,0.6616338141380794,0.6362200388832698,0.6547619047619048,0.7050105929374695,0.5
feature_linear,42,1,7,0.6640564874997215,0.62745543888637,0.6547619047619048,0.7022762298583984,0.484375
feature_linear,42,1,8,0.6523988615898859,0.6203954484727647,0.6706349206349206,0.7039367854595184,0.484375
feature_linear,42,1,9,0.6417177470903548,0.6151064691089448,0.6587301587301587,0.7054979205131531,0.5
feature_linear,42,1,10,0.635703666815682,0.6104023645794581,0.6507936507936508,0.7107332050800323,0.5
feature_linear,42,1,11,0.621018752219185,0.6048807795085605,0.6626984126984127,0.7128884196281433,0.515625
feature_linear,42,1,12,0.6336650271264334,0.598972343263172,0.6746031746031746,0.7102295756340027,0.546875
feature_linear,42,1,13,0.6155646093307979,0.594185299343533,0.6865079365079365,0.7070675492286682,0.546875
feature_linear,42,1,14,0.6056682401233249,0.5896416164579845,0.6904761904761905,0.7127544283866882,0.53125
feature_linear,42,1,15,0.6167912606209044,0.5854972809080093,0.6984126984126984,0.7144647836685181,0.578125
feature_linear,42,1,16,0.6069975968391176,0.5817409772721548,0.7103174603174603,0.7153865993022919,0.5625
feature_linear,42,1,17,0.6185452521793426,0.578747136252267,0.7142857142857143,0.7115038931369781,0.546875
feature_linear,42,1,18,0.6046593179778447,0.5760946500869024,0.6904761904761905,0.7185417413711548,0.53125
feature_linear,42,1,19,0.6134642939718943,0.5725921979026188,0.6984126984126984,0.7176758348941803,0.53125
feature_linear,42,1,20,0.5960712423400273,0.5695151979961093,0.7063492063492064,0.7213411927223206,0.546875
feature_linear,42,2,1,0.7406590902616107,0.684292369418674,0.5634920634920635,0.6878010928630829,0.515625
feature_linear,42,2,2,0.6981878810458713,0.6723698055933393,0.5833333333333334,0.6646685600280762,0.59375
feature_linear,42,2,3,0.6977511606519184,0.6586619785853794,0.623015873015873,0.6561199724674225,0.65625
feature_linear,42,2,4,0.6889066866465977,0.6499488013131278,0.6309523809523809,0.6625847816467285,0.671875
